,Month,DayOfWeek,Time,SecurityDelay
299342,1,3,6,29.0
6525662,12,1,11,17.0
4284626,8,1,17,3.0
71612,1,5,13,66.0
857191,2,5,16,65.0
5905913,10,6,6,10.0
865843,2,5,16,4.0
679318,2,1,6,14.0
2273437,4,3,11,36.0
1759569,3,1,9,15.0
6860182,12,5,7,9.0
3901426,7,4,19,57.0
3623389,7,2,6,77.0
256392,1,2,18,27.0
4884299,9,1,6,31.0
445081,1,4,15,12.0
262253,1,6,9,31.0
4159085,7,1,0,23.0
4947894,9,4,11,1.0
3677018,7,4,21,10.0
2949913,5,6,16,8.0
2948657,5,4,21,11.0
5980547,11,6,8,8.0
2929011,5,5,13,15.0
6002020,11,5,15,47.0
3719762,7,4,14,11.0
1018922,2,7,17,18.0
3259605,6,3,18,9.0
647302,2,5,18,10.0
583577,1,6,7,22.0
1184810,3,3,6,12.0
5460949,10,7,19,5.0
3289125,6,5,12,24.0
6720482,12,2,6,10.0
6855961,12,3,0,6.0
6954032,12,2,20,38.0
4282948,8,7,7,24.0
848618,2,5,9,10.0
1220335,3,7,18,2.0
722128,2,3,14,10.0
342440,1,4,7,2.0
2509261,5,4,13,17.0
4199661,7,1,17,7.0
967685,2,7,10,20.0
3120807,6,7,20,7.0
138487,1,1,16,43.0
4325151,8,6,11,5.0
1925945,4,5,18,18.0
1456835,3,7,18,16.0
2044911,4,3,22,38.0
3054516,6,5,18,2.0
2816915,5,1,17,13.0
564132,1,3,17,14.0
6028348,11,7,18,29.0
5494616,10,7,10,17.0
6400116,11,6,13,10.0
685101,2,3,10,7.0
6965808,12,1,15,13.0
1110508,2,2,18,1.0
1290340,3,6,13,11.0
2358279,4,7,18,10.0
4151726,7,6,20,3.0
659230,2,2,11,12.0
1448867,3,7,14,32.0
536036,1,1,11,7.0
5515241,10,7,9,35.0
3708286,7,2,12,35.0
5323806,9,5,16,17.0
1931105,4,5,18,54.0
3013122,6,7,15,1.0
1378681,3,4,6,31.0
5475645,10,4,14,2.0
1449032,3,1,6,17.0
5467466,10,2,14,4.0
6476637,12,6,15,11.0
6544776,12,7,19,27.0
1718566,3,1,21,19.0
4098531,7,4,9,115.0
2961391,5,6,19,23.0
2491137,5,5,10,7.0
3031961,6,5,18,5.0
2985754,5,6,5,48.0
3565156,6,7,17,12.0
6633495,12,2,6,14.0
3726551,7,6,6,6.0
2470323,5,2,6,47.0
2427733,5,3,13,10.0
6029831,11,7,11,11.0
692204,2,5,6,12.0
1225614,3,2,19,2.0
2314359,4,5,18,14.0
1189720,3,5,18,5.0
668217,2,4,9,6.0
6717198,12,6,14,13.0
2651510,5,2,20,39.0
171284,1,3,7,23.0
1298209,3,2,19,18.0
885982,2,5,13,13.0
5084986,9,4,15,10.0
4109618,7,4,8,151.0
2074470,4,5,23,3.0
2531630,5,1,6,42.0
6733495,12,1,7,19.0
4177417,7,5,7,5.0
2683875,5,6,12,20.0
6618547,12,3,6,7.0
1745842,3,5,12,19.0
4200108,7,6,21,15.0
1723994,3,1,15,53.0
3628782,7,4,15,2.0
3634115,7,5,13,10.0
5509128,10,4,15,18.0
3211040,6,6,14,50.0
6978501,12,1,21,10.0
3090000,6,6,6,20.0
2395375,5,1,16,6.0
3531515,6,2,20,10.0
640969,2,3,8,2.0
1749086,3,7,13,11.0
6717666,12,7,20,32.0
1460274,3,2,16,26.0
2438969,5,7,16,8.0
772854,2,3,5,50.0
1293333,3,5,9,19.0
4713374,8,7,8,17.0
4806500,8,3,7,6.0
1749818,3,6,9,24.0
1288652,3,3,14,3.0
3112101,6,5,15,21.0
6029177,11,7,14,12.0
6993572,12,1,14,6.0
3020849,6,2,9,10.0
579080,1,4,10,6.0
2951126,5,7,7,14.0
2962641,5,4,19,17.0
1755751,3,4,6,17.0
544339,1,7,21,4.0
5329651,9,6,8,16.0
6444269,11,4,10,8.0
1125210,2,5,14,4.0
4963200,9,6,16,68.0
3621312,7,2,21,1.0
6951477,12,2,6,22.0
2472831,5,3,7,12.0
4292063,8,3,9,13.0
1256236,3,4,21,1.0
4806309,8,7,5,11.0
743341,2,6,9,29.0
3545471,6,7,17,10.0
4274876,8,5,7,14.0
4577,1,5,6,9.0
1190494,3,5,11,14.0
1628881,3,7,5,16.0
540208,1,4,9,17.0
6186084,11,6,11,4.0
6511474,12,3,8,2.0
5385850,10,5,13,18.0
5449144,10,3,12,9.0
1909480,4,3,19,3.0
5892864,10,2,16,12.0
1674180,3,7,18,10.0
2350202,4,3,12,7.0
3710528,7,6,13,14.0
1351736,3,2,7,38.0
616913,2,3,15,22.0
583928,1,4,14,35.0
5562257,10,6,10,17.0
3728200,7,3,19,3.0
721132,2,2,11,8.0
624429,2,5,17,5.0
6974595,12,6,18,18.0
2470336,5,2,7,35.0
6980849,12,5,6,12.0
5096329,9,7,17,19.0
4973127,9,7,6,15.0
1798962,4,6,15,4.0
510147,1,4,12,13.0
578125,1,6,6,16.0
4573910,8,3,20,43.0
5780150,10,6,8,11.0
1240509,3,6,12,6.0
116899,1,7,19,8.0
6979405,12,7,8,4.0
6618553,12,6,6,7.0
4882123,9,7,16,1.0
4974112,9,2,17,56.0
3699846,7,4,16,2.0
5578297,10,7,10,62.0
2361479,4,5,15,7.0
1936110,4,5,13,25.0
298699,1,3,12,12.0
6771729,12,5,10,25.0
4184692,7,2,19,15.0
6405529,11,6,6,17.0
295632,1,2,15,6.0
74318,1,5,18,9.0
104619,1,7,20,10.0
6427871,11,6,17,23.0
81965,1,1,16,11.0
6532940,12,3,18,21.0
2323115,4,5,13,28.0
6530603,12,2,11,7.0
6595958,12,3,10,104.0
6977687,12,2,8,17.0
575885,1,6,11,6.0
1213807,3,5,12,8.0
6773346,12,7,15,9.0
3020980,6,2,21,7.0
3525754,6,3,20,10.0
4162841,7,2,6,15.0
10224,1,7,21,4.0
4416702,8,5,9,32.0
6857844,12,3,17,10.0
1515200,3,7,17,8.0
3204095,6,2,10,111.0
3030196,6,5,18,4.0
639321,2,3,6,17.0
576,1,4,7,10.0
5325687,9,3,20,15.0
6517550,12,5,9,3.0
1286600,3,1,12,9.0
2391243,5,7,10,75.0
2683776,5,6,10,80.0
611908,2,1,15,5.0
1236840,3,5,21,5.0
6891097,12,2,6,14.0
6977020,12,3,10,9.0
1023383,2,6,7,30.0
5457039,10,6,17,11.0
5546131,10,4,10,46.0
2514378,5,3,7,6.0
4233211,8,7,17,6.0
150620,1,4,11,50.0
1232656,3,4,14,6.0
3113060,6,6,15,5.0
6487714,12,3,11,1.0
6964275,12,6,8,81.0
5337173,9,6,7,10.0
1269559,3,1,6,9.0
6505902,12,1,13,1.0
1423895,3,6,8,58.0
1738542,3,2,7,7.0
613614,2,2,7,24.0
1794278,4,5,20,2.0
3047508,6,3,21,5.0
3108918,6,1,16,5.0
6656561,12,6,6,28.0
2513418,5,4,19,12.0
1897588,4,7,19,4.0
1918304,4,7,20,2.0
2564317,5,1,20,35.0
643153,2,4,18,4.0
848111,2,5,18,58.0
670412,2,5,20,15.0
3043629,6,2,17,6.0
3314868,6,6,6,20.0
880096,2,2,6,2.0
2173503,4,5,9,2.0
2820072,5,1,17,24.0
572432,1,5,15,13.0
4158083,7,6,20,15.0
1448968,3,1,6,18.0
877232,2,7,11,101.0
6000923,11,5,15,6.0
6993926,12,1,7,6.0
511147,1,6,17,6.0
2446440,5,2,9,19.0
489324,1,3,13,15.0
298494,1,3,6,11.0
300567,1,3,20,12.0
1006397,2,2,19,8.0
4430547,8,6,6,23.0
119567,1,2,19,10.0
3110512,6,1,18,229.0
6949523,12,4,11,16.0
60661,1,1,13,4.0
6966763,12,3,15,17.0
1827302,4,1,14,12.0
1864767,4,5,21,16.0
2442368,5,1,17,15.0
852321,2,1,20,23.0
6120587,11,4,6,1.0
1351774,3,2,13,19.0
209086,1,6,14,33.0
6945456,12,7,14,10.0
1111924,2,5,20,13.0
850441,2,7,18,16.0
631023,2,7,18,5.0
6980146,12,6,16,6.0
4977024,9,6,16,30.0
1294112,3,7,18,16.0
3688889,7,1,13,4.0
5086285,9,5,11,62.0
2057547,4,6,16,69.0
6993798,12,1,5,11.0
4410527,8,1,9,24.0
6964269,12,6,8,79.0
6981538,12,4,19,14.0
1317825,3,6,8,74.0
2360696,4,4,19,11.0
297198,1,2,16,34.0
2078730,4,1,14,1.0
4914585,9,3,17,12.0
6071962,11,7,14,38.0
1370021,3,6,6,20.0
2822447,5,2,13,24.0
1235161,3,5,13,11.0
5646499,10,5,17,36.0
6646114,12,5,6,25.0
1632386,3,6,8,8.0
1724057,3,1,19,22.0
5381306,9,5,15,79.0
1937159,4,6,6,32.0
2324392,4,1,12,19.0
638851,2,2,8,4.0
3701849,7,4,13,16.0
3011322,6,6,12,4.0
4098560,7,2,16,34.0
6715999,12,5,18,4.0
5562390,10,3,13,15.0
5026116,9,1,6,15.0
6964887,12,7,6,7.0
1455079,3,5,16,14.0
300031,1,3,10,68.0
1004764,2,2,18,5.0
1721827,3,2,8,6.0
6774810,12,1,12,2.0
81572,1,1,13,7.0
1762858,3,5,14,28.0
629524,2,7,15,5.0
4883117,9,7,20,1.0
1249209,3,2,14,3.0
301318,1,3,13,4.0
6542681,12,6,7,29.0
712657,2,4,16,9.0
3046616,6,3,20,4.0
5109915,9,1,19,8.0
6644049,12,2,10,65.0
1182808,3,3,17,7.0
126671,1,3,19,27.0
3708435,7,5,7,31.0
2083085,4,2,14,30.0
5892600,10,1,14,13.0
2906883,5,4,17,6.0
2395310,5,1,16,5.0
283438,1,2,13,3.0
374545,1,7,13,3.0
1895321,4,5,12,6.0
2491643,5,5,11,2.0
675803,2,7,19,1.0
1907604,4,3,16,11.0
2659072,5,1,8,20.0
1247230,3,1,6,6.0
4278839,8,6,8,34.0
650133,2,6,11,9.0
6562476,12,2,16,10.0
4366209,8,1,16,20.0
2122553,4,3,21,41.0
3570414,6,3,5,11.0
3255481,6,7,15,43.0
711498,2,4,17,1.0
1302069,3,7,12,8.0
1929621,4,3,16,18.0
3896247,7,7,20,7.0
2451098,5,3,21,4.0
622700,2,4,20,5.0
4918823,9,4,9,3.0
2501937,5,6,6,12.0
6938249,12,2,8,13.0
3724177,7,2,6,7.0
6562071,12,2,18,6.0
6733500,12,1,7,18.0
3130167,6,6,6,18.0
1897661,4,2,18,18.0
6568098,12,2,16,2.0
5260593,9,6,6,68.0
579354,1,6,9,20.0
547996,1,4,20,3.0
3105236,6,7,15,6.0
5326163,9,4,11,14.0
6551408,12,2,6,25.0
611843,2,1,14,40.0
5852591,10,5,21,18.0
625837,2,5,20,6.0
6525696,12,1,11,26.0
2965413,5,3,14,27.0
6965018,12,7,7,33.0
5227017,9,1,13,16.0
4961,1,5,17,14.0
3715487,7,6,15,10.0
2968524,5,6,10,7.0
4801906,8,6,9,9.0
2432723,5,5,13,6.0
6708883,12,6,16,12.0
2689615,5,5,12,7.0
3800987,7,1,14,3.0
3901405,7,4,19,20.0
262135,1,6,15,4.0
697791,2,1,17,7.0
5632060,10,7,9,42.0
1937226,4,7,18,40.0
2327578,4,5,17,16.0
2128416,4,7,12,1.0
3580050,6,5,6,25.0
743546,2,7,12,24.0
106951,1,2,17,3.0
1296054,3,7,18,4.0
1205209,3,3,14,6.0
2213797,4,3,13,28.0
2595084,5,7,5,24.0
3563651,6,6,20,5.0
2899482,5,3,17,1.0
6116227,11,7,6,5.0
2596141,5,1,9,21.0
1762888,3,7,17,11.0
1893987,4,5,18,8.0
852570,2,1,18,50.0
3447528,6,7,16,3.0
4345966,8,1,18,9.0
1286809,3,3,18,27.0
1896886,4,6,13,12.0
3184198,6,4,21,41.0
1225530,3,2,18,7.0
2513729,5,7,19,10.0
6539993,12,5,17,6.0
302567,1,4,7,24.0
3901571,7,4,20,20.0
1479628,3,7,20,2.0
4766618,8,6,7,27.0
3571936,6,2,14,4.0
2588626,5,3,16,12.0
2407629,5,4,21,2.0
297177,1,2,16,14.0
1206623,3,3,16,25.0
1293062,3,3,20,4.0
6825961,12,6,12,30.0
2495822,5,4,6,12.0
1250820,3,2,15,1.0
1191276,3,5,7,19.0
3129037,6,5,15,22.0
6229175,11,4,6,23.0
677291,2,7,21,5.0
1243249,3,7,21,8.0
2082987,4,2,9,11.0
612238,2,1,12,5.0
4344408,8,6,17,11.0
6717360,12,6,14,7.0
5951721,11,4,20,2.0
4883143,9,7,10,6.0
6650896,12,3,6,5.0
4614460,8,7,9,16.0
1115271,2,6,20,15.0
1037085,2,1,6,20.0
2482753,5,6,10,15.0
4679333,8,6,17,25.0
3488389,6,5,11,42.0
1179809,3,2,17,13.0
128432,1,4,18,6.0
1307541,3,6,9,6.0
1240452,3,6,19,3.0
6525612,12,1,13,29.0
4767983,8,2,20,35.0
2967661,5,4,15,34.0
6525632,12,1,8,14.0
1758231,3,4,19,3.0
4063730,7,2,16,4.0
6519568,12,5,8,11.0
6525578,12,1,11,15.0
4158175,7,6,11,24.0
4890182,9,2,14,9.0
5455336,10,5,16,10.0
874435,2,5,5,3.0
5734336,10,4,10,51.0
1277644,3,1,7,19.0
6980399,12,5,6,24.0
71603,1,5,13,13.0
