,Month,DayOfWeek,Time,NASDelay
3960466,7,3,21,11.0
4178195,7,6,20,4.0
4170272,7,6,13,7.0
1288310,3,1,14,8.0
4752379,8,6,12,19.0
6205559,11,7,16,17.0
2024295,4,6,10,25.0
1191567,3,5,17,1.0
505750,1,5,9,15.0
6616212,12,2,15,36.0
6716474,12,6,19,99.0
621505,2,4,8,22.0
494781,1,3,7,15.0
3733302,7,4,19,161.0
5211710,9,3,19,18.0
3338832,6,6,14,36.0
1191172,3,5,17,4.0
390276,1,4,12,4.0
1718148,3,7,16,62.0
6096904,11,5,8,13.0
3941302,7,7,16,12.0
2062902,4,3,17,24.0
560670,1,7,20,26.0
2247916,4,5,22,18.0
2078735,4,1,8,24.0
5688975,10,3,12,14.0
2464109,5,1,17,24.0
6047692,11,5,20,19.0
6036907,11,5,18,82.0
3382799,6,3,8,2.0
163123,1,2,8,37.0
1701511,3,3,18,8.0
2618564,5,3,21,5.0
3779595,7,3,8,24.0
2893814,5,1,10,26.0
6899390,12,5,8,32.0
6925100,12,5,14,11.0
5874458,10,3,7,29.0
3710052,7,6,11,20.0
2900923,5,5,17,14.0
5384876,9,2,6,19.0
3505890,6,1,15,7.0
6629329,12,4,15,14.0
226257,1,3,18,23.0
5105365,9,7,17,7.0
6226235,11,1,10,3.0
1845004,4,6,16,2.0
4783260,8,4,6,16.0
1457384,3,7,15,10.0
913527,2,1,14,1.0
2821699,5,3,19,6.0
4500794,8,3,9,11.0
549417,1,7,19,21.0
2014363,4,5,20,1.0
4547220,8,7,12,15.0
4170896,7,7,19,87.0
4401260,8,2,7,22.0
410607,1,7,16,25.0
157735,1,7,16,2.0
4497928,8,7,14,1.0
2027428,4,4,19,10.0
163537,1,2,19,138.0
2210303,4,2,9,26.0
4205018,7,2,16,4.0
2329193,4,1,7,2.0
6765517,12,4,6,75.0
234426,1,4,9,17.0
4676213,8,3,7,21.0
6950533,12,6,12,5.0
3926447,7,6,13,8.0
3341017,6,7,14,15.0
5755082,10,2,18,7.0
4724183,8,4,17,7.0
3189277,6,7,14,14.0
514141,1,6,17,16.0
2682101,5,5,8,17.0
610646,2,1,14,16.0
49247,1,5,18,8.0
4563772,8,1,19,26.0
1859109,4,3,9,17.0
4738420,8,6,21,2.0
1283122,3,1,9,13.0
